date,input1,input2,input3,input4,target
2008-10-21,93.0,30.0,21.0,126.0,225.0
2008-10-22,51.0,3.0,36.0,180.0,289.0
2008-10-23,5.0,24.0,50.0,158.0,110.0
2008-10-24,52.0,17.0,59.0,179.0,74.0
2008-10-25,75.0,10.0,22.0,175.0,159.0
2008-10-26,84.0,14.0,49.0,175.0,180.0
2008-10-27,30.0,20.0,15.0,179.0,197.0
2008-10-28,82.0,15.0,51.0,152.0,105.0
2008-10-29,82.0,15.0,40.0,142.0,206.0
2008-10-30,16.0,6.0,14.0,188.0,214.0
2008-10-31,91.0,1.0,37.0,151.0,52.0
2008-11-01,61.0,3.0,16.0,153.0,171.0
2008-11-02,42.0,5.0,52.0,127.0,122.0
2008-11-03,16.0,4.0,16.0,104.0,89.0
2008-11-04,38.0,20.0,22.0,134.0,15.0
2008-11-05,65.0,8.0,54.0,173.0,135.0
2008-11-06,1.0,6.0,18.0,146.0,155.0
2008-11-07,45.0,18.0,45.0,148.0,16.0
2008-11-08,92.0,14.0,58.0,132.0,156.0
2008-11-09,20.0,5.0,37.0,172.0,223.0
2008-11-10,68.0,18.0,15.0,121.0,61.0
2008-11-11,46.0,18.0,34.0,105.0,183.0
2008-11-12,60.0,26.0,11.0,156.0,136.0
2008-11-13,9.0,19.0,47.0,133.0,199.0
2008-11-14,94.0,19.0,49.0,134.0,75.0
2008-11-15,84.0,23.0,10.0,145.0,244.0
2008-11-16,61.0,2.0,28.0,116.0,235.0
2008-11-17,71.0,26.0,37.0,147.0,123.0
2008-11-18,8.0,9.0,50.0,140.0,206.0
2008-11-19,12.0,26.0,30.0,153.0,33.0
2008-11-20,31.0,0.0,12.0,163.0,100.0
2008-11-21,93.0,3.0,43.0,187.0,51.0
2008-11-22,6.0,15.0,58.0,109.0,182.0
2008-11-23,2.0,11.0,27.0,152.0,60.0
2008-11-24,17.0,30.0,39.0,117.0,45.0
2008-11-25,66.0,20.0,13.0,174.0,111.0
2008-11-26,64.0,26.0,50.0,149.0,193.0
2008-11-27,98.0,20.0,19.0,181.0,198.0
2008-11-28,74.0,19.0,28.0,118.0,268.0
2008-11-29,28.0,3.0,17.0,105.0,203.0
2008-11-30,56.0,3.0,31.0,118.0,49.0
2008-12-01,43.0,20.0,38.0,112.0,115.0
2008-12-02,4.0,29.0,20.0,118.0,145.0
2008-12-03,91.0,15.0,35.0,111.0,107.0
2008-12-04,62.0,4.0,51.0,151.0,227.0
2008-12-05,28.0,21.0,44.0,177.0,151.0
2008-12-06,63.0,5.0,41.0,169.0,123.0
2008-12-07,88.0,15.0,14.0,108.0,144.0
2008-12-08,39.0,11.0,29.0,188.0,228.0
2008-12-09,34.0,28.0,41.0,144.0,136.0
2008-12-10,65.0,22.0,26.0,152.0,142.0
2008-12-11,49.0,17.0,14.0,118.0,203.0
2008-12-12,59.0,10.0,40.0,169.0,138.0
2008-12-13,90.0,1.0,56.0,133.0,153.0
2008-12-14,69.0,8.0,40.0,130.0,174.0
2008-12-15,19.0,20.0,34.0,146.0,160.0
2008-12-16,77.0,11.0,33.0,146.0,97.0
2008-12-17,91.0,23.0,29.0,172.0,189.0
2008-12-18,25.0,12.0,41.0,130.0,245.0
2008-12-19,82.0,29.0,27.0,129.0,77.0
2008-12-20,71.0,23.0,45.0,184.0,250.0
2008-12-21,27.0,9.0,42.0,118.0,221.0
2008-12-22,62.0,11.0,32.0,117.0,84.0
2008-12-23,56.0,24.0,30.0,158.0,161.0
2008-12-24,21.0,29.0,60.0,103.0,163.0
2008-12-25,94.0,11.0,12.0,177.0,121.0
2008-12-26,27.0,27.0,29.0,111.0,197.0
2008-12-27,65.0,27.0,28.0,122.0,140.0
2008-12-28,12.0,11.0,40.0,192.0,224.0
2008-12-29,97.0,14.0,19.0,147.0,51.0
2008-12-30,9.0,7.0,51.0,159.0,227.0
2008-12-31,16.0,21.0,54.0,194.0,27.0
2009-01-01,8.0,9.0,15.0,192.0,89.0
2009-01-02,32.0,13.0,32.0,112.0,34.0
2009-01-03,43.0,29.0,35.0,117.0,106.0
2009-01-04,3.0,21.0,50.0,131.0,171.0
2009-01-05,61.0,16.0,34.0,146.0,64.0
2009-01-06,46.0,20.0,38.0,123.0,153.0
2009-01-07,64.0,20.0,32.0,143.0,155.0
2009-01-08,8.0,17.0,45.0,192.0,194.0
2009-01-09,82.0,29.0,45.0,174.0,70.0
2009-01-10,18.0,1.0,30.0,165.0,234.0
2009-01-11,79.0,3.0,48.0,109.0,27.0
2009-01-12,74.0,28.0,54.0,185.0,154.0
2009-01-13,95.0,13.0,31.0,158.0,222.0
2009-01-14,68.0,9.0,27.0,142.0,225.0
2009-01-15,69.0,4.0,29.0,143.0,170.0
2009-01-16,38.0,18.0,30.0,164.0,157.0
2009-01-17,26.0,19.0,24.0,136.0,133.0
2009-01-18,62.0,4.0,37.0,145.0,111.0
2009-01-19,51.0,14.0,53.0,191.0,139.0
2009-01-20,66.0,10.0,37.0,124.0,139.0
2009-01-21,57.0,17.0,37.0,139.0,167.0
2009-01-22,85.0,26.0,37.0,161.0,168.0
2009-01-23,19.0,26.0,52.0,105.0,234.0
2009-01-24,70.0,8.0,13.0,152.0,122.0
2009-01-25,43.0,8.0,19.0,136.0,180.0
2009-01-26,39.0,5.0,14.0,120.0,119.0
2009-01-27,85.0,29.0,15.0,131.0,85.0
2009-01-28,24.0,6.0,20.0,195.0,256.0
2009-01-29,54.0,20.0,52.0,145.0,59.0
2009-01-30,81.0,11.0,39.0,158.0,149.0
2009-01-31,86.0,21.0,15.0,120.0,188.0
2009-02-01,6.0,4.0,25.0,168.0,224.0
2009-02-02,53.0,8.0,53.0,198.0,26.0
2009-02-03,57.0,13.0,40.0,124.0,129.0
2009-02-04,6.0,2.0,13.0,166.0,151.0
2009-02-05,63.0,6.0,34.0,146.0,13.0
2009-02-06,79.0,15.0,55.0,115.0,139.0
2009-02-07,49.0,17.0,30.0,110.0,202.0
2009-02-08,93.0,13.0,40.0,131.0,135.0
2009-02-09,70.0,18.0,36.0,116.0,223.0
2009-02-10,34.0,1.0,25.0,160.0,194.0
2009-02-11,63.0,13.0,51.0,147.0,64.0
2009-02-12,85.0,24.0,14.0,155.0,166.0
2009-02-13,45.0,5.0,21.0,166.0,239.0
2009-02-14,37.0,21.0,37.0,156.0,95.0
2009-02-15,52.0,23.0,11.0,167.0,136.0
2009-02-16,37.0,9.0,50.0,116.0,167.0
2009-02-17,88.0,12.0,29.0,184.0,85.0
2009-02-18,92.0,15.0,39.0,140.0,200.0
2009-02-19,17.0,19.0,51.0,147.0,212.0
2009-02-20,89.0,23.0,48.0,187.0,85.0
2009-02-21,91.0,8.0,46.0,160.0,247.0
2009-02-22,14.0,9.0,43.0,160.0,223.0
2009-02-23,6.0,21.0,59.0,127.0,40.0
2009-02-24,33.0,16.0,51.0,115.0,66.0
2009-02-25,98.0,12.0,19.0,128.0,109.0
2009-02-26,48.0,10.0,19.0,137.0,244.0
2009-02-27,13.0,30.0,21.0,155.0,119.0
2009-02-28,13.0,9.0,43.0,112.0,114.0
2009-03-01,28.0,24.0,58.0,191.0,49.0
2009-03-02,31.0,5.0,35.0,133.0,128.0
2009-03-03,7.0,19.0,14.0,120.0,83.0
2009-03-04,15.0,28.0,21.0,132.0,53.0
2009-03-05,31.0,21.0,50.0,133.0,130.0
2009-03-06,58.0,28.0,18.0,152.0,134.0
2009-03-07,91.0,21.0,50.0,105.0,182.0
2009-03-08,43.0,12.0,55.0,173.0,245.0
2009-03-09,36.0,9.0,18.0,171.0,114.0
2009-03-10,20.0,20.0,46.0,196.0,110.0
2009-03-11,79.0,16.0,38.0,141.0,103.0
2009-03-12,60.0,29.0,59.0,119.0,198.0
2009-03-13,35.0,3.0,39.0,155.0,202.0
2009-03-14,19.0,19.0,11.0,182.0,88.0
2009-03-15,97.0,23.0,29.0,125.0,99.0
2009-03-16,48.0,21.0,30.0,171.0,266.0
2009-03-17,49.0,25.0,50.0,144.0,164.0
2009-03-18,55.0,9.0,52.0,128.0,174.0
2009-03-19,21.0,21.0,35.0,102.0,133.0
2009-03-20,27.0,24.0,53.0,181.0,110.0
2009-03-21,65.0,6.0,14.0,184.0,143.0
2009-03-22,30.0,8.0,20.0,113.0,145.0
2009-03-23,22.0,29.0,39.0,132.0,85.0
2009-03-24,82.0,19.0,16.0,180.0,150.0
2009-03-25,46.0,14.0,30.0,122.0,220.0
2009-03-26,14.0,17.0,52.0,168.0,133.0
2009-03-27,51.0,17.0,25.0,104.0,88.0
2009-03-28,58.0,26.0,10.0,158.0,149.0
2009-03-29,32.0,7.0,33.0,145.0,189.0
2009-03-30,82.0,13.0,18.0,176.0,86.0
2009-03-31,46.0,5.0,52.0,167.0,205.0
2009-04-01,72.0,16.0,28.0,193.0,116.0
2009-04-02,17.0,9.0,12.0,181.0,181.0
2009-04-03,27.0,3.0,25.0,138.0,37.0
2009-04-04,94.0,30.0,30.0,169.0,66.0
2009-04-05,18.0,5.0,17.0,153.0,274.0
2009-04-06,1.0,8.0,49.0,200.0,50.0
2009-04-07,47.0,24.0,36.0,160.0,11.0
2009-04-08,47.0,25.0,21.0,145.0,177.0
2009-04-09,19.0,26.0,38.0,149.0,187.0
2009-04-10,60.0,15.0,59.0,166.0,119.0
2009-04-11,18.0,1.0,52.0,163.0,190.0
2009-04-12,49.0,21.0,25.0,119.0,33.0
2009-04-13,49.0,15.0,18.0,165.0,149.0
2009-04-14,22.0,29.0,46.0,126.0,143.0
2009-04-15,44.0,18.0,54.0,141.0,122.0
2009-04-16,63.0,28.0,16.0,178.0,140.0
2009-04-17,30.0,28.0,49.0,144.0,206.0
2009-04-18,62.0,10.0,24.0,124.0,143.0
2009-04-19,89.0,3.0,31.0,183.0,145.0
2009-04-20,66.0,18.0,58.0,110.0,185.0
2009-04-21,19.0,26.0,37.0,164.0,180.0
2009-04-22,60.0,15.0,23.0,128.0,97.0
2009-04-23,73.0,9.0,48.0,166.0,177.0
2009-04-24,17.0,24.0,34.0,172.0,189.0
2009-04-25,39.0,26.0,14.0,116.0,112.0
2009-04-26,18.0,16.0,49.0,177.0,172.0
2009-04-27,10.0,18.0,31.0,169.0,87.0
2009-04-28,65.0,1.0,49.0,161.0,75.0
2009-04-29,45.0,22.0,39.0,128.0,138.0
2009-04-30,18.0,14.0,31.0,196.0,158.0
2009-05-01,54.0,17.0,19.0,187.0,66.0
2009-05-02,14.0,6.0,22.0,184.0,156.0
2009-05-03,77.0,27.0,45.0,179.0,48.0
2009-05-04,56.0,2.0,21.0,187.0,244.0
2009-05-05,5.0,9.0,56.0,184.0,135.0
2009-05-06,30.0,17.0,60.0,193.0,46.0
2009-05-07,12.0,28.0,13.0,192.0,112.0
2009-05-08,63.0,12.0,29.0,107.0,82.0
2009-05-09,1.0,15.0,13.0,187.0,172.0
2009-05-10,66.0,13.0,15.0,138.0,48.0
2009-05-11,26.0,27.0,37.0,151.0,177.0
2009-05-12,44.0,12.0,23.0,161.0,140.0
2009-05-13,90.0,5.0,37.0,131.0,129.0
2009-05-14,68.0,5.0,27.0,115.0,189.0
2009-05-15,78.0,3.0,58.0,165.0,144.0
2009-05-16,48.0,11.0,24.0,113.0,169.0
2009-05-17,35.0,4.0,39.0,137.0,136.0
2009-05-18,98.0,21.0,13.0,187.0,99.0
2009-05-19,66.0,7.0,21.0,199.0,272.0
2009-05-20,44.0,19.0,59.0,140.0,150.0
2009-05-21,61.0,9.0,42.0,101.0,136.0
2009-05-22,92.0,27.0,12.0,111.0,170.0
2009-05-23,93.0,16.0,40.0,149.0,277.0
2009-05-24,71.0,23.0,39.0,124.0,222.0
2009-05-25,95.0,9.0,32.0,152.0,202.0
2009-05-26,4.0,4.0,49.0,169.0,224.0
2009-05-27,42.0,15.0,18.0,106.0,6.0
2009-05-28,9.0,0.0,44.0,187.0,133.0
2009-05-29,2.0,25.0,59.0,184.0,10.0
2009-05-30,65.0,25.0,31.0,144.0,89.0
2009-05-31,73.0,15.0,18.0,189.0,195.0
2009-06-01,81.0,20.0,16.0,129.0,192.0
2009-06-02,70.0,6.0,24.0,159.0,228.0
2009-06-03,77.0,8.0,37.0,169.0,168.0
2009-06-04,43.0,4.0,37.0,187.0,185.0
2009-06-05,28.0,5.0,15.0,191.0,110.0
2009-06-06,41.0,22.0,11.0,101.0,57.0
2009-06-07,27.0,27.0,59.0,186.0,145.0
2009-06-08,93.0,2.0,14.0,102.0,139.0
2009-06-09,77.0,25.0,24.0,102.0,186.0
2009-06-10,88.0,11.0,49.0,143.0,222.0
2009-06-11,38.0,9.0,16.0,134.0,218.0
2009-06-12,2.0,28.0,13.0,128.0,115.0
2009-06-13,49.0,26.0,48.0,193.0,86.0
2009-06-14,89.0,2.0,31.0,133.0,175.0
2009-06-15,52.0,21.0,20.0,148.0,189.0
2009-06-16,52.0,28.0,45.0,189.0,167.0
2009-06-17,88.0,8.0,19.0,179.0,186.0
2009-06-18,73.0,6.0,44.0,171.0,192.0
2009-06-19,3.0,5.0,12.0,112.0,157.0
2009-06-20,82.0,26.0,51.0,192.0,5.0
2009-06-21,95.0,25.0,13.0,182.0,249.0
2009-06-22,94.0,3.0,45.0,161.0,277.0
2009-06-23,30.0,3.0,35.0,156.0,207.0
2009-06-24,16.0,8.0,26.0,115.0,69.0
2009-06-25,26.0,12.0,34.0,182.0,54.0
2009-06-26,82.0,18.0,24.0,147.0,83.0
2009-06-27,71.0,5.0,22.0,144.0,216.0
2009-06-28,98.0,18.0,38.0,109.0,175.0
2009-06-29,3.0,2.0,27.0,176.0,237.0
2009-06-30,48.0,5.0,23.0,134.0,23.0
2009-07-01,92.0,7.0,23.0,147.0,126.0
2009-07-02,73.0,21.0,45.0,116.0,188.0
2009-07-03,66.0,0.0,21.0,121.0,218.0
2009-07-04,52.0,18.0,34.0,144.0,131.0
2009-07-05,32.0,27.0,23.0,191.0,177.0
2009-07-06,73.0,17.0,51.0,151.0,151.0
2009-07-07,57.0,14.0,41.0,149.0,192.0
2009-07-08,56.0,18.0,39.0,122.0,159.0
2009-07-09,44.0,2.0,31.0,189.0,171.0
2009-07-10,99.0,2.0,18.0,133.0,94.0
2009-07-11,22.0,28.0,41.0,111.0,196.0
2009-07-12,18.0,19.0,45.0,149.0,134.0
2009-07-13,58.0,23.0,50.0,104.0,94.0
2009-07-14,7.0,17.0,15.0,176.0,208.0
2009-07-15,90.0,19.0,43.0,198.0,69.0
2009-07-16,57.0,15.0,50.0,174.0,232.0
2009-07-17,96.0,1.0,36.0,159.0,159.0
2009-07-18,98.0,25.0,40.0,180.0,211.0
2009-07-19,41.0,30.0,48.0,146.0,273.0
2009-07-20,40.0,17.0,17.0,171.0,156.0
2009-07-21,26.0,15.0,59.0,198.0,114.0
2009-07-22,36.0,9.0,33.0,156.0,95.0
2009-07-23,12.0,14.0,54.0,133.0,97.0
2009-07-24,7.0,14.0,50.0,133.0,65.0
2009-07-25,15.0,19.0,18.0,184.0,54.0
2009-07-26,34.0,6.0,57.0,104.0,88.0
2009-07-27,8.0,20.0,58.0,199.0,95.0
2009-07-28,25.0,1.0,54.0,143.0,79.0
2009-07-29,13.0,0.0,42.0,123.0,66.0
2009-07-30,2.0,15.0,14.0,128.0,22.0
2009-07-31,55.0,9.0,15.0,166.0,51.0
2009-08-01,56.0,8.0,11.0,144.0,150.0
2009-08-02,27.0,19.0,30.0,119.0,133.0
2009-08-03,30.0,0.0,27.0,153.0,124.0
2009-08-04,87.0,2.0,55.0,185.0,68.0
2009-08-05,28.0,3.0,23.0,147.0,181.0
2009-08-06,85.0,1.0,23.0,141.0,71.0
2009-08-07,87.0,17.0,16.0,200.0,177.0
2009-08-08,58.0,5.0,14.0,182.0,219.0
2009-08-09,43.0,12.0,33.0,121.0,159.0
2009-08-10,62.0,13.0,14.0,128.0,122.0
2009-08-11,45.0,16.0,49.0,125.0,170.0
2009-08-12,59.0,7.0,29.0,135.0,144.0
2009-08-13,35.0,3.0,21.0,120.0,143.0
2009-08-14,21.0,7.0,24.0,188.0,59.0
2009-08-15,11.0,28.0,29.0,114.0,44.0
2009-08-16,86.0,1.0,22.0,110.0,100.0
2009-08-17,47.0,23.0,41.0,178.0,189.0
2009-08-18,78.0,1.0,35.0,101.0,159.0
2009-08-19,66.0,9.0,42.0,117.0,150.0
2009-08-20,88.0,9.0,11.0,166.0,146.0
2009-08-21,59.0,15.0,34.0,142.0,202.0
2009-08-22,82.0,27.0,30.0,169.0,154.0
2009-08-23,33.0,4.0,43.0,185.0,227.0
2009-08-24,46.0,9.0,48.0,171.0,63.0
2009-08-25,8.0,2.0,47.0,172.0,125.0
2009-08-26,85.0,0.0,52.0,155.0,10.0
2009-08-27,8.0,23.0,27.0,187.0,163.0
2009-08-28,5.0,29.0,42.0,127.0,90.0
2009-08-29,56.0,26.0,56.0,176.0,83.0
2009-08-30,79.0,6.0,14.0,103.0,199.0
2009-08-31,62.0,28.0,21.0,143.0,192.0
2009-09-01,81.0,1.0,30.0,163.0,205.0
2009-09-02,88.0,17.0,43.0,103.0,156.0
2009-09-03,50.0,28.0,55.0,199.0,233.0
2009-09-04,27.0,6.0,41.0,118.0,178.0
2009-09-05,31.0,18.0,57.0,190.0,50.0
2009-09-06,83.0,17.0,17.0,140.0,135.0
2009-09-07,17.0,15.0,16.0,132.0,206.0
2009-09-08,3.0,26.0,45.0,112.0,92.0
2009-09-09,5.0,5.0,19.0,129.0,66.0
2009-09-10,72.0,8.0,23.0,149.0,18.0
2009-09-11,56.0,13.0,34.0,181.0,174.0
2009-09-12,92.0,15.0,18.0,135.0,150.0
2009-09-13,28.0,24.0,38.0,143.0,226.0
2009-09-14,30.0,5.0,60.0,105.0,131.0
2009-09-15,40.0,16.0,43.0,170.0,70.0
2009-09-16,24.0,18.0,49.0,138.0,124.0
2009-09-17,61.0,9.0,30.0,147.0,101.0
2009-09-18,42.0,13.0,11.0,137.0,152.0
2009-09-19,15.0,13.0,58.0,185.0,113.0
2009-09-20,51.0,21.0,25.0,159.0,76.0
2009-09-21,76.0,24.0,11.0,123.0,167.0
2009-09-22,5.0,5.0,56.0,178.0,234.0
2009-09-23,81.0,7.0,29.0,125.0,19.0
2009-09-24,24.0,12.0,41.0,132.0,178.0
2009-09-25,18.0,26.0,12.0,180.0,90.0
2009-09-26,57.0,10.0,51.0,149.0,118.0
2009-09-27,84.0,27.0,56.0,143.0,157.0
2009-09-28,67.0,11.0,50.0,140.0,250.0
2009-09-29,97.0,17.0,19.0,195.0,146.0
2009-09-30,67.0,16.0,23.0,147.0,243.0
2009-10-01,39.0,15.0,39.0,192.0,185.0
2009-10-02,47.0,14.0,46.0,110.0,116.0
2009-10-03,75.0,30.0,34.0,188.0,130.0
2009-10-04,27.0,5.0,35.0,116.0,244.0
2009-10-05,63.0,26.0,57.0,165.0,59.0
2009-10-06,48.0,14.0,37.0,176.0,209.0
2009-10-07,77.0,18.0,24.0,136.0,155.0
2009-10-08,40.0,29.0,20.0,167.0,195.0
2009-10-09,99.0,8.0,51.0,122.0,158.0
2009-10-10,94.0,3.0,54.0,126.0,195.0
2009-10-11,91.0,29.0,28.0,136.0,201.0
2009-10-12,74.0,12.0,41.0,189.0,268.0
2009-10-13,65.0,18.0,14.0,186.0,198.0
2009-10-14,46.0,8.0,17.0,174.0,184.0
2009-10-15,49.0,6.0,12.0,104.0,110.0
2009-10-16,41.0,1.0,59.0,173.0,126.0
2009-10-17,54.0,2.0,33.0,123.0,73.0
2009-10-18,99.0,2.0,34.0,127.0,127.0
2009-10-19,56.0,21.0,55.0,165.0,223.0
2009-10-20,86.0,29.0,48.0,132.0,170.0
2009-10-21,55.0,7.0,35.0,158.0,254.0
2009-10-22,81.0,4.0,49.0,143.0,132.0
2009-10-23,35.0,28.0,37.0,186.0,184.0
2009-10-24,51.0,17.0,47.0,108.0,144.0
2009-10-25,100.0,12.0,56.0,157.0,158.0
2009-10-26,82.0,13.0,40.0,183.0,236.0
2009-10-27,44.0,15.0,44.0,133.0,203.0
2009-10-28,15.0,18.0,49.0,145.0,122.0
2009-10-29,19.0,21.0,17.0,191.0,89.0
2009-10-30,59.0,3.0,55.0,123.0,101.0
2009-10-31,69.0,1.0,37.0,120.0,124.0
2009-11-01,16.0,10.0,43.0,198.0,150.0
2009-11-02,28.0,3.0,53.0,123.0,71.0
2009-11-03,13.0,29.0,13.0,112.0,59.0
2009-11-04,48.0,2.0,53.0,179.0,105.0
2009-11-05,12.0,17.0,33.0,110.0,91.0
2009-11-06,50.0,18.0,43.0,189.0,54.0
2009-11-07,52.0,30.0,15.0,167.0,158.0
2009-11-08,89.0,24.0,56.0,126.0,192.0
2009-11-09,59.0,27.0,27.0,126.0,240.0
2009-11-10,72.0,30.0,53.0,187.0,197.0
2009-11-11,13.0,26.0,14.0,150.0,239.0
2009-11-12,33.0,12.0,25.0,181.0,86.0
2009-11-13,27.0,23.0,32.0,146.0,113.0
2009-11-14,29.0,13.0,21.0,168.0,104.0
2009-11-15,68.0,26.0,28.0,164.0,94.0
2009-11-16,94.0,27.0,38.0,129.0,219.0
2009-11-17,40.0,18.0,22.0,178.0,276.0
2009-11-18,79.0,19.0,51.0,182.0,117.0
2009-11-19,19.0,19.0,31.0,141.0,222.0
2009-11-20,74.0,6.0,49.0,123.0,103.0
2009-11-21,48.0,2.0,30.0,193.0,178.0
2009-11-22,92.0,29.0,39.0,116.0,87.0
2009-11-23,75.0,15.0,56.0,171.0,269.0
2009-11-24,47.0,27.0,28.0,191.0,198.0
2009-11-25,4.0,14.0,60.0,108.0,180.0
2009-11-26,8.0,16.0,51.0,121.0,29.0
2009-11-27,53.0,9.0,50.0,149.0,67.0
2009-11-28,17.0,18.0,22.0,198.0,126.0
2009-11-29,97.0,6.0,45.0,120.0,72.0
2009-11-30,53.0,9.0,28.0,137.0,219.0
2009-12-01,23.0,25.0,44.0,170.0,119.0
2009-12-02,36.0,20.0,11.0,167.0,129.0
2009-12-03,1.0,19.0,46.0,136.0,136.0
2009-12-04,80.0,21.0,19.0,119.0,54.0
2009-12-05,40.0,10.0,34.0,131.0,229.0
2009-12-06,76.0,19.0,47.0,189.0,105.0
2009-12-07,57.0,25.0,30.0,157.0,216.0
2009-12-08,15.0,29.0,16.0,159.0,182.0
2009-12-09,93.0,2.0,24.0,173.0,109.0
2009-12-10,51.0,9.0,16.0,103.0,196.0
2009-12-11,87.0,5.0,13.0,155.0,143.0
2009-12-12,52.0,20.0,33.0,117.0,180.0
2009-12-13,16.0,3.0,14.0,152.0,162.0
2009-12-14,16.0,16.0,43.0,126.0,46.0
2009-12-15,15.0,8.0,43.0,174.0,78.0
2009-12-16,61.0,18.0,45.0,178.0,53.0
2009-12-17,34.0,28.0,19.0,149.0,169.0
2009-12-18,52.0,6.0,55.0,168.0,151.0
2009-12-19,99.0,8.0,42.0,123.0,113.0
2009-12-20,83.0,26.0,13.0,115.0,214.0
2009-12-21,82.0,1.0,30.0,148.0,250.0
2009-12-22,66.0,6.0,19.0,113.0,173.0
2009-12-23,45.0,10.0,15.0,126.0,162.0
2009-12-24,32.0,27.0,32.0,120.0,125.0
2009-12-25,57.0,4.0,31.0,115.0,129.0
2009-12-26,70.0,8.0,33.0,168.0,133.0
2009-12-27,43.0,12.0,13.0,127.0,159.0
2009-12-28,21.0,11.0,42.0,193.0,112.0
2009-12-29,79.0,23.0,30.0,112.0,77.0
2009-12-30,9.0,10.0,41.0,130.0,228.0
2009-12-31,27.0,8.0,15.0,113.0,51.0
2010-01-01,39.0,15.0,29.0,199.0,88.0
2010-01-02,71.0,22.0,27.0,166.0,115.0
2010-01-03,6.0,28.0,34.0,171.0,223.0
2010-01-04,67.0,7.0,39.0,152.0,110.0
2010-01-05,83.0,7.0,16.0,136.0,159.0
2010-01-06,36.0,22.0,53.0,124.0,190.0
2010-01-07,6.0,21.0,32.0,123.0,146.0
2010-01-08,38.0,16.0,43.0,165.0,68.0
2010-01-09,56.0,19.0,12.0,125.0,110.0
2010-01-10,6.0,16.0,19.0,181.0,191.0
2010-01-11,52.0,16.0,55.0,145.0,47.0
2010-01-12,45.0,11.0,47.0,119.0,154.0
2010-01-13,99.0,15.0,24.0,139.0,108.0
2010-01-14,80.0,25.0,51.0,195.0,243.0
2010-01-15,9.0,1.0,60.0,197.0,240.0
2010-01-16,80.0,4.0,44.0,134.0,30.0
2010-01-17,53.0,10.0,47.0,130.0,184.0
2010-01-18,89.0,6.0,22.0,116.0,129.0
2010-01-19,18.0,18.0,28.0,137.0,197.0
2010-01-20,31.0,15.0,40.0,182.0,87.0
2010-01-21,86.0,16.0,56.0,167.0,115.0
2010-01-22,79.0,26.0,23.0,143.0,228.0
2010-01-23,88.0,18.0,15.0,144.0,232.0
2010-01-24,67.0,10.0,42.0,181.0,226.0
2010-01-25,84.0,19.0,11.0,183.0,198.0
